Date,Day_of_week,Holiday,Moon_Phase,Average_wind,Max_temp,Min_temp,Total_precipitation,Average_mslp,Holiday_prev,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7
16-mar-18,5,0,1,4.731135609,287.02307,277.0761,0.74267579,100636.4573,0.0,50.0,45.0,64.0,53.0,58.0,51.0,56.0,43,50.0,39.0,52.0,41.0,47.0,46.0
17-mar-18,6,0,0,4.731135609,287.02307,276.9754,0.615600594,100268.9185,0.0,43.0,50.0,45.0,64.0,53.0,58.0,51.0,50,39.0,52.0,41.0,47.0,46.0,45.0
18-mar-18,7,0,1,3.267569687,287.02307,274.82703,0.035522461,100114.8864,0.0,50.0,43.0,50.0,45.0,64.0,53.0,58.0,39,52.0,41.0,47.0,46.0,45.0,56.0
19-mar-18,1,1,5,2.477896552,284.7954,274.1462,0.049560547,100325.4037,0.0,39.0,50.0,43.0,50.0,45.0,64.0,53.0,52,41.0,47.0,46.0,45.0,56.0,47.0
20-mar-18,2,0,11,2.657415999,281.89276,273.355,0.080322266,100432.1953,1.0,52.0,39.0,50.0,43.0,50.0,45.0,64.0,41,47.0,46.0,45.0,56.0,47.0,46.0
21-mar-18,3,0,18,6.349687025,280.96338,272.78387,0.056518555,100984.2726,0.0,41.0,52.0,39.0,50.0,43.0,50.0,45.0,47,46.0,45.0,56.0,47.0,46.0,33.0
22-mar-18,4,0,27,6.721969365,280.2931,272.78387,0.033935547,101767.5818,0.0,47.0,41.0,52.0,39.0,50.0,43.0,50.0,46,45.0,56.0,47.0,46.0,33.0,34.0
23-mar-18,5,0,37,6.721969365,280.56976,272.27112,0.001220703,102362.5305,0.0,46.0,47.0,41.0,52.0,39.0,50.0,43.0,45,56.0,47.0,46.0,33.0,34.0,38.0
24-mar-18,6,0,47,6.721969365,284.36804,271.2273,0.194335941,102134.2771,0.0,45.0,46.0,47.0,41.0,52.0,39.0,50.0,56,47.0,46.0,33.0,34.0,38.0,42.0
25-mar-18,7,0,58,3.982870856,284.36804,271.2273,0.375488287,101211.2972,0.0,56.0,45.0,46.0,47.0,41.0,52.0,39.0,47,46.0,33.0,34.0,38.0,42.0,51.0
26-mar-18,1,0,68,3.131204558,284.36804,271.2273,0.437988288,100700.5593,0.0,47.0,56.0,45.0,46.0,47.0,41.0,52.0,46,33.0,34.0,38.0,42.0,51.0,51.0
27-mar-18,2,0,78,4.394585859,283.38892,274.6343,0.37353516,101100.3594,0.0,46.0,47.0,56.0,45.0,46.0,47.0,41.0,33,34.0,38.0,42.0,51.0,51.0,52.0
28-mar-18,3,0,86,4.394585859,287.32166,277.80133,0.201293946,101882.6849,0.0,33.0,46.0,47.0,56.0,45.0,46.0,47.0,34,38.0,42.0,51.0,51.0,52.0,53.0
29-mar-18,4,1,92,4.394585859,290.60205,278.19424,0.376342769,102108.7336,0.0,34.0,33.0,46.0,47.0,56.0,45.0,46.0,38,42.0,51.0,51.0,52.0,53.0,36.0
30-mar-18,5,1,97,2.806026297,290.60205,277.83987,0.300903316,101663.5871,1.0,38.0,34.0,33.0,46.0,47.0,56.0,45.0,42,51.0,51.0,52.0,53.0,36.0,38.0
31-mar-18,6,0,100,3.458043524,290.60205,277.83987,0.296020504,100924.9109,1.0,42.0,38.0,34.0,33.0,46.0,47.0,56.0,51,51.0,52.0,53.0,36.0,38.0,49.0
01-abr-18,7,0,100,3.57587377,286.85785,276.57764,0.081665039,100712.1782,0.0,51.0,42.0,38.0,34.0,33.0,46.0,47.0,51,52.0,53.0,36.0,38.0,49.0,43.0
02-abr-18,1,1,98,3.57587377,287.68082,273.594,0.02746582,100911.0983,0.0,51.0,51.0,42.0,38.0,34.0,33.0,46.0,52,53.0,36.0,38.0,49.0,43.0,35.0
03-abr-18,2,0,94,4.87702076,291.24512,273.594,0.03503418,101056.967,1.0,52.0,51.0,51.0,42.0,38.0,34.0,33.0,53,36.0,38.0,49.0,43.0,35.0,47.0
04-abr-18,3,0,88,4.87702076,291.24512,273.594,0.038452148,100844.886,0.0,53.0,52.0,51.0,51.0,42.0,38.0,34.0,36,38.0,49.0,43.0,35.0,47.0,40.0
05-abr-18,4,0,80,4.87702076,291.24512,281.052,0.140747071,100684.655,0.0,36.0,53.0,52.0,51.0,51.0,42.0,38.0,38,49.0,43.0,35.0,47.0,40.0,46.0
06-abr-18,5,0,71,4.267755682,290.2975,279.04407,0.129760743,101076.1325,0.0,38.0,36.0,53.0,52.0,51.0,51.0,42.0,49,43.0,35.0,47.0,40.0,46.0,39.0
07-abr-18,6,0,61,5.730571809,291.56442,279.04407,0.272216797,101284.2647,0.0,49.0,38.0,36.0,53.0,52.0,51.0,51.0,43,35.0,47.0,40.0,46.0,39.0,39.0
08-abr-18,7,0,50,5.730571809,291.56442,279.04407,1.127685536,101177.3706,0.0,43.0,49.0,38.0,36.0,53.0,52.0,51.0,35,47.0,40.0,46.0,39.0,39.0,56.0
09-abr-18,1,0,40,5.730571809,291.56442,279.65857,1.735229479,100785.8047,0.0,35.0,43.0,49.0,38.0,36.0,53.0,52.0,47,40.0,46.0,39.0,39.0,56.0,53.0
10-abr-18,2,0,29,3.863225104,286.07214,276.4546,1.868164048,100659.3688,0.0,47.0,35.0,43.0,49.0,38.0,36.0,53.0,40,46.0,39.0,39.0,56.0,53.0,59.0
11-abr-18,3,0,20,4.032973302,286.07214,276.4546,1.489135737,100407.5875,0.0,40.0,47.0,35.0,43.0,49.0,38.0,36.0,46,39.0,39.0,56.0,53.0,59.0,50.0
12-abr-18,4,0,12,5.30185015,283.71896,276.4546,2.036987292,100089.3991,0.0,46.0,40.0,47.0,35.0,43.0,49.0,38.0,39,39.0,56.0,53.0,59.0,50.0,47.0
13-abr-18,5,0,6,5.30185015,285.7838,276.48364,2.03930663,99909.1075,0.0,39.0,46.0,40.0,47.0,35.0,43.0,49.0,39,56.0,53.0,59.0,50.0,47.0,48.0
14-abr-18,6,0,2,5.30185015,285.7838,276.48364,1.612182606,100153.619,0.0,39.0,39.0,46.0,40.0,47.0,35.0,43.0,56,53.0,59.0,50.0,47.0,48.0,46.0
15-abr-18,7,0,0,2.20193391,289.30084,278.68494,0.459228514,100808.2439,0.0,56.0,39.0,39.0,46.0,40.0,47.0,35.0,53,59.0,50.0,47.0,48.0,46.0,58.0
16-abr-18,1,0,0,2.163732539,289.63763,278.68494,0.185546873,101278.8933,0.0,53.0,56.0,39.0,39.0,46.0,40.0,47.0,59,50.0,47.0,48.0,46.0,58.0,69.0
17-abr-18,2,0,3,3.406139104,289.63763,278.68494,0.571411141,101653.0497,0.0,59.0,53.0,56.0,39.0,39.0,46.0,40.0,50,47.0,48.0,46.0,58.0,69.0,60.0
18-abr-18,3,0,8,3.406139104,294.4872,276.96973,0.568359383,101869.2381,0.0,50.0,59.0,53.0,56.0,39.0,39.0,46.0,47,48.0,46.0,58.0,69.0,60.0,57.0
19-abr-18,4,0,14,3.406139104,296.46637,276.96973,0.537475594,102156.4449,0.0,47.0,50.0,59.0,53.0,56.0,39.0,39.0,48,46.0,58.0,69.0,60.0,57.0,40.0
20-abr-18,5,0,22,3.200742792,296.46637,276.96973,0.0,102330.1611,0.0,48.0,47.0,50.0,59.0,53.0,56.0,39.0,46,58.0,69.0,60.0,57.0,40.0,46.0
21-abr-18,6,0,32,3.200742792,296.46637,280.76257,0.000854492,102293.319,0.0,46.0,48.0,47.0,50.0,59.0,53.0,56.0,58,69.0,60.0,57.0,40.0,46.0,41.0
22-abr-18,7,0,42,3.200742792,294.5507,282.08154,0.000854492,102136.3674,0.0,58.0,46.0,48.0,47.0,50.0,59.0,53.0,69,60.0,57.0,40.0,46.0,41.0,31.0
23-abr-18,1,0,52,3.147768775,294.32825,282.08154,0.007080078,101935.8271,0.0,69.0,58.0,46.0,48.0,47.0,50.0,59.0,60,57.0,40.0,46.0,41.0,31.0,48.0
24-abr-18,2,0,63,3.147768775,294.32825,282.08154,0.007324219,101864.4783,0.0,60.0,69.0,58.0,46.0,48.0,47.0,50.0,57,40.0,46.0,41.0,31.0,48.0,44.0
